data1,data2,data3,data4,data5,data6
Estates at Westchase
1 BR,1 BA,$695 ," 1,085",663 Sq Ft,B1 1X1
1 BR,1 BA,$720 , 725,663 Sq Ft,B1 1X1
1 BR,1 BA,$723 , 801,663 Sq Ft,B1 1X1
1 BR,1 BA,$735 , 740,663 Sq Ft,B1 1X1
1 BR,1 BA,$780 ," 1,170",733 Sq Ft,C1 1X1
1 BR,1 BA,$805 , 810,733 Sq Ft,C1 1X1
1 BR,1 BA,$790 ," 1,180",663 Sq Ft,B1 1X1 E
1 BR,1 BA,$815 , 820,663 Sq Ft,B1 1X1 E
1 BR,1 BA,$815 , 820,663 Sq Ft,B1 1X1 E
1 BR,1 BA,$830 , 835,663 Sq Ft,B1 1X1 E
1 BR,1 BA,$810 ," 1,200",733 Sq Ft,C1 1X1 E
1 BR,1 BA,$850 , 855,733 Sq Ft,C1 1X1 E
2 BRs,1¼ BA,$825 ," 1,045",896 Sq Ft,D1 2X1.25
2 BRs,1¼ BA,$850 , 895,896 Sq Ft,D1 2X1.25
2 BRs,2 BAs,$935 ," 1,155","1,000 Sq Ft",E1 2X2 E
2 BRs,2 BAs,$960 ," 1,005","1,000 Sq Ft",E1 2X2 E
3 BRs,2 BAs,"$1,355 "," 1,980","1,152 Sq Ft",F1 3X2 E
3 BRs,2 BAs,"$1,395 "," 1,400","1,152 Sq Ft",F1 3X2 E
1 BR,1 BA,$665 ," 1,055",475 Sq Ft,A1 1x1
1 BR,1 BA,$690 , 695,475 Sq Ft,A1 1x1
1 BR,1 BA,$680 ," 1,070",475 Sq Ft,A1 1x1 E
1 BR,1 BA,$705 , 710,475 Sq Ft,A1 1x1 E
1 BR,1 BA,$835 , 840,733 Sq Ft,C1 1X1 E
2 BRs,1¼ BA,$895 ," 1,115",896 Sq Ft,D1 2X1.25E
2 BRs,1¼ BA,$935 , 980,896 Sq Ft,D1 2X1.25E
2 BRs,2 BAs,$960 ," 1,005","1,000 Sq Ft",E1 2X2 E
2 BRs,1¼ BA,$920 , 965,896 Sq Ft,D1 2X1.25E
1 BR,1 BA,$835 , 840,733 Sq Ft,C1 1X1 E
1 BR,1 BA,$820 , 825,733 Sq Ft,C1 1X1
3 BRs,2 BAs,"$1,395 "," 1,575","1,152 Sq Ft",F1 3X2 E
